mod_id,system,role,evidence_count,confidence
ref:actorhistory,Actor,secondary,1,Verified
ref:actorhistory,Alliance,secondary,1,Verified
ref:actorhistory,City,secondary,1,Verified
ref:actorhistory,Clan,secondary,1,Verified
ref:actorhistory,Events,primary,6,Verified
ref:actorhistory,Kingdom,secondary,1,Verified
ref:actorhistory,Save/Persistence,primary,6,Verified
ref:actorhistory,UI,primary,6,Verified
ref:actorhistory,War,secondary,1,Verified
ref:buzzoff,Actor,primary,4,Verified
ref:buzzoff,Buildings,primary,4,Verified
ref:buzzoff,Utility,secondary,1,Verified
ref:chinesename,Assets,primary,5,Verified
ref:chinesename,City,secondary,1,Verified
ref:chinesename,Culture,secondary,1,Verified
ref:chinesename,Events,secondary,1,Verified
ref:chinesename,Kingdom,secondary,1,Verified
ref:chinesename,Mod Lifecycle,primary,5,Verified
ref:chinesename,Religion,secondary,1,Verified
ref:chinesename,Save/Persistence,secondary,1,Verified
ref:chinesename,Utility,primary,5,Verified
ref:creepmobboost,AI,secondary,1,Verified
ref:creepmobboost,Actor,primary,4,Verified
ref:creepmobboost,Assets,secondary,1,Verified
ref:creepmobboost,Buildings,primary,4,Verified
ref:creepmobboost,Mod Lifecycle,secondary,1,Verified
ref:familytree,Actor,secondary,1,Verified
ref:familytree,Clan,secondary,1,Verified
ref:familytree,Events,secondary,1,Verified
ref:familytree,Kingdom,secondary,1,Verified
ref:familytree,UI,primary,5,Verified
ref:guigu-cultivation,Actor,primary,7,Mostly Verified
ref:guigu-cultivation,City,secondary,1,Mostly Verified
ref:guigu-cultivation,Combat,primary,7,Mostly Verified
ref:guigu-cultivation,Events,secondary,1,Mostly Verified
ref:guigu-cultivation,Kingdom,primary,7,Mostly Verified
ref:guigu-cultivation,Mod Lifecycle,secondary,1,Mostly Verified
ref:guigu-cultivation,Save/Persistence,primary,7,Mostly Verified
ref:guigu-cultivation,Traits,primary,7,Mostly Verified
ref:guigu-cultivation,UI,secondary,1,Mostly Verified
ref:guigu-cultivation,Utility,secondary,1,Mostly Verified
ref:guigu-cultivation,World,secondary,1,Mostly Verified
